County,clinton,trump,johnson,stein,other,totalvotes,CountyName,StateName,StateAbbr,dPct,rPct,leanD,leanR,otherPct,dDRPct,rDRPct,State
1073,156873,134768,6645,1554,4351,304191,Jefferson,Alabama,AL,0.515705593,0.443037434,1.164022617,0.859089837,0.014303513,0.537897621,0.462102379,1
1075,1036,5823,62,15,30,6966,Lamar,Alabama,AL,0.148722366,0.835917313,0.177915164,5.620656371,0.004306632,0.151042426,0.848957574,1
1077,9952,27899,987,222,465,39525,Lauderdale,Alabama,AL,0.251790006,0.705857052,0.356715294,2.803356109,0.011764706,0.262925682,0.737074318,1
1079,3627,10833,250,31,88,14829,Lawrence,Alabama,AL,0.244588307,0.730528019,0.334810302,2.986765922,0.005934318,0.250829876,0.749170124,1
1081,21230,34617,2030,364,950,59191,Lee,Alabama,AL,0.358669392,0.584835532,0.613282491,1.630569948,0.016049737,0.380145755,0.619854245,1
1083,9468,29067,1055,202,502,40294,Limestone,Alabama,AL,0.234972949,0.721372909,0.32573021,3.070025349,0.012458431,0.245698715,0.754301285,1
1085,4883,1751,32,11,7,6684,Lowndes,Alabama,AL,0.730550569,0.261968881,2.788692176,0.35859103,0.001047277,0.736056678,0.263943322,1
1087,7566,1431,69,49,25,9140,Macon,Alabama,AL,0.827789934,0.156564551,5.28721174,0.189135607,0.00273523,0.840946982,0.159053018,1
1089,62822,89520,6621,1254,3172,163389,Madison,Alabama,AL,0.384493448,0.547894901,0.701764969,1.424978511,0.019413792,0.412374788,0.587625212,1
1091,5615,5233,104,13,29,10994,Marengo,Alabama,AL,0.510733127,0.475986902,1.07299828,0.931967943,0.002637802,0.517606932,0.482393068,1
1093,1432,11274,181,26,71,12984,Marion,Alabama,AL,0.110289587,0.868299445,0.127017917,7.872905028,0.005468269,0.11270266,0.88729734,1
1095,4917,29233,678,158,330,35316,Marshall,Alabama,AL,0.139228678,0.827755125,0.168200322,5.945291845,0.009344207,0.14398243,0.85601757,1
1097,72186,95116,3291,791,1353,172737,Mobile,Alabama,AL,0.417895413,0.550640569,0.758925943,1.317651622,0.007832717,0.431471232,0.568528768,1
1099,4332,5795,88,17,39,10271,Monroe,Alabama,AL,0.421770032,0.564209911,0.747540984,1.337719298,0.003797099,0.427767355,0.572232645,1
1101,58916,34003,1486,490,983,95878,Montgomery,Alabama,AL,0.614489247,0.354648616,1.732670647,0.57714373,0.010252613,0.63405762,0.36594238,1
1103,11254,37486,1168,218,518,50644,Morgan,Alabama,AL,0.222217834,0.740186399,0.300218748,3.330904567,0.01022826,0.230898646,0.769101354,1
1105,3824,1407,23,6,18,5278,Perry,Alabama,AL,0.724516862,0.266578249,2.717839375,0.367939331,0.003410383,0.731026572,0.268973428,1
1107,3972,5456,49,19,46,9542,Pickens,Alabama,AL,0.416264934,0.571787885,0.728005865,1.373615307,0.004820792,0.421298261,0.578701739,1
1109,5056,7693,257,48,114,13168,Pike,Alabama,AL,0.383961118,0.58421932,0.65722085,1.521558544,0.008657351,0.396580124,0.603419876,1
1111,2291,7705,124,19,48,10187,Randolph,Alabama,AL,0.224894473,0.75635614,0.29733939,3.363160192,0.004711888,0.229191677,0.770808323,1
1113,9579,9210,281,68,118,19256,Russell,Alabama,AL,0.497455339,0.47829248,1.040065147,0.961478234,0.00612796,0.509819575,0.490180425,1
1115,5589,31651,684,130,346,38400,St. Clair,Alabama,AL,0.145546875,0.824244792,0.176582099,5.663088209,0.009010417,0.150080559,0.849919441,1
1117,22977,73020,2965,480,1812,101254,Shelby,Alabama,AL,0.226924368,0.721156695,0.314667214,3.177960569,0.017895589,0.23935123,0.76064877,1
1119,4746,1581,57,14,13,6411,Sumter,Alabama,AL,0.740290126,0.246607394,3.001897533,0.33312263,0.002027765,0.75011854,0.24988146,1
1121,12121,20614,411,106,155,33407,Talladega,Alabama,AL,0.36282815,0.617056306,0.587998448,1.700684762,0.004639746,0.370276463,0.629723537,1
1123,5519,13594,233,52,88,19486,Tallapoosa,Alabama,AL,0.283228985,0.697629067,0.405987936,2.463127378,0.004516063,0.288756344,0.711243656,1
1125,31762,47723,1873,390,952,82700,Tuscaloosa,Alabama,AL,0.384062878,0.577061669,0.665549106,1.502518733,0.011511487,0.399597408,0.600402592,1
1127,4497,24266,455,95,159,29472,Walker,Alabama,AL,0.152585505,0.823357763,0.185321025,5.396041806,0.005394951,0.156346695,0.843653305,1
1129,2374,6042,73,22,22,8533,Washington,Alabama,AL,0.278213993,0.708074534,0.392916253,2.545071609,0.002578226,0.282081749,0.717918251,1
1131,4339,1742,22,7,13,6123,Wilcox,Alabama,AL,0.708639556,0.284501062,2.490815155,0.401474994,0.002123142,0.713533958,0.286466042,1
1133,872,9228,131,29,53,10313,Winston,Alabama,AL,0.084553476,0.89479298,0.094495015,10.58256881,0.005139145,0.086336634,0.913663366,1
2013,194,268,29,10,18,519,Aleutians East,Alaska,AK,0.373795761,0.516377649,0.723880597,1.381443299,0.034682081,0.41991342,0.58008658,2
2016,656,417,49,18,23,1163,Aleutians West,Alaska,AK,0.564058469,0.35855546,1.573141487,0.635670732,0.01977644,0.611369991,0.388630009,2
2020,53967,61080,9061,1981,1464,127553,Anchorage,Alaska,AK,0.423094714,0.478859768,0.883546169,1.131802768,0.011477582,0.469086547,0.530913453,2
2050,2680,1098,254,259,316,4607,Bethel,Alaska,AK,0.581723464,0.238332972,2.440801457,0.409701493,0.068591274,0.709370037,0.290629963,2
2060,162,241,29,6,11,449,Bristol Bay,Alaska,AK,0.360801782,0.53674833,0.67219917,1.487654321,0.024498886,0.401985112,0.598014888,2
2068,370,606,60,21,18,1075,Denali,Alaska,AK,0.344186047,0.56372093,0.610561056,1.637837838,0.016744186,0.379098361,0.620901639,2
2070,956,673,111,39,51,1830,Dillingham,Alaska,AK,0.522404372,0.367759563,1.420505201,0.703974895,0.027868852,0.586863106,0.413136894,2
2090,13635,21899,2636,800,586,39556,Fairbanks North Star,Alaska,AK,0.344701183,0.553620184,0.62263117,1.606087275,0.01481444,0.383717003,0.616282997,2
2100,844,565,67,71,34,1581,Haines,Alaska,AK,0.533839342,0.357368754,1.49380531,0.66943128,0.021505376,0.599006388,0.400993612,2
2105,1407,776,150,68,55,2456,Hoonah-Angoon,Alaska,AK,0.572882736,0.315960912,1.81314433,0.551528074,0.022394137,0.644525882,0.355474118,2
2110,7911,5497,912,390,214,14924,Juneau,Alaska,AK,0.530085768,0.368332887,1.439148627,0.694855265,0.014339319,0.590020883,0.409979117,2
2122,7521,18294,1483,523,376,28197,Kenai Peninsula,Alaska,AK,0.266730503,0.648792425,0.411118399,2.43238931,0.013334752,0.291342243,0.708657757,2
2130,1992,3430,476,127,88,6113,Ketchikan Gateway,Alaska,AK,0.325862915,0.561099297,0.580758017,1.72188755,0.01439555,0.367392106,0.632607894,2
2150,2020,2992,397,125,89,5623,Kodiak Island,Alaska,AK,0.35923884,0.532100302,0.67513369,1.481188119,0.01582785,0.403032721,0.596967279,2
2158,1180,415,85,41,157,1878,Kusilvak,Alaska,AK,0.628328009,0.220979766,2.843373494,0.351694915,0.083599574,0.739811912,0.260188088,2
2164,204,176,44,13,28,465,Lake and Peninsula,Alaska,AK,0.438709677,0.378494624,1.159090909,0.862745098,0.060215054,0.536842105,0.463157895,2
2170,8604,31639,8146,569,624,49582,Matanuska-Susitna,Alaska,AK,0.173530717,0.638114638,0.271942855,3.677243143,0.012585212,0.213801158,0.786198842,2
2180,1638,867,174,56,173,2908,Nome,Alaska,AK,0.563273728,0.298143054,1.889273356,0.529304029,0.059491059,0.653892216,0.346107784,2
2185,1098,777,96,50,141,2162,North Slope,Alaska,AK,0.50786309,0.359389454,1.413127413,0.707650273,0.065217391,0.5856,0.4144,2
2188,1134,570,107,38,152,2001,Northwest Arctic,Alaska,AK,0.566716642,0.284857571,1.989473684,0.502645503,0.075962019,0.665492958,0.334507042,2
2195,621,862,89,56,27,1655,Petersburg,Alaska,AK,0.375226586,0.520845921,0.720417633,1.388083736,0.016314199,0.418745786,0.581254214,2
2198,1092,1305,140,93,108,2738,Prince of Wales-Hyder,Alaska,AK,0.398831264,0.476625274,0.836781609,1.195054945,0.03944485,0.455569462,0.544430538,2
2220,2009,1888,210,128,78,4313,Sitka,Alaska,AK,0.465801067,0.437746348,1.064088983,0.93977103,0.01808486,0.515524763,0.484475237,2
2230,463,226,52,33,12,786,Skagway,Alaska,AK,0.589058524,0.287531807,2.048672566,0.48812095,0.015267176,0.671988389,0.328011611,2
2240,748,2366,172,49,49,3384,Southeast Fairbanks,Alaska,AK,0.221040189,0.699172577,0.316145393,3.163101604,0.014479905,0.240205523,0.759794477,2
2261,1196,2589,293,94,82,4254,Valdez-Cordova,Alaska,AK,0.281147156,0.608603667,0.461954423,2.164715719,0.019275976,0.315984148,0.684015852,2
2275,303,706,60,21,15,1105,Wrangell,Alaska,AK,0.274208145,0.638914027,0.42917847,2.330033003,0.013574661,0.300297324,0.699702676,2
2282,147,149,24,8,2,330,Yakutat,Alaska,AK,0.445454545,0.451515152,0.986577181,1.013605442,0.006060606,0.496621622,0.503378378,2
2290,1427,976,153,36,93,2685,Yukon-Koyukuk,Alaska,AK,0.531471136,0.363500931,1.462090164,0.683952348,0.034636872,0.593841032,0.406158968,2
4001,17083,8240,1221,469,106,27119,Apache,Arizona,AZ,0.629927357,0.303846012,2.073179612,0.482350875,0.003908699,0.674604115,0.325395885,4
4003,17450,28092,2394,993,455,49384,Cochise,Arizona,AZ,0.353353313,0.56884821,0.621173288,1.609856734,0.00921351,0.383162795,0.616837205,4
4005,32404,21108,2978,1414,536,58440,Coconino,Arizona,AZ,0.554483231,0.361190965,1.535152549,0.651401062,0.0091718,0.605546419,0.394453581,4
4007,7003,14182,803,212,112,22312,Gila,Arizona,AZ,0.313866977,0.635622087,0.493794951,2.025132086,0.00501972,0.330564078,0.669435922,4
4009,3301,8025,497,116,195,12134,Graham,Arizona,AZ,0.272045492,0.66136476,0.411339564,2.43108149,0.016070546,0.291453293,0.708546707,4
4011,1092,1892,200,59,27,3270,Greenlee,Arizona,AZ,0.333944954,0.578593272,0.577167019,1.732600733,0.008256881,0.365951743,0.634048257,4
4012,1575,4003,211,73,15,5877,La Paz,Arizona,AZ,0.267993874,0.681129828,0.393454909,2.541587302,0.002552323,0.282359269,0.717640731,4
4013,702907,747361,67043,19432,12355,1549098,Maricopa,Arizona,AZ,0.453752442,0.482449141,0.940518705,1.063243075,0.007975609,0.484673867,0.515326133,4
4015,17455,58282,2639,740,230,79346,Mohave,Arizona,AZ,0.219985885,0.734529781,0.299492124,3.338985964,0.002898697,0.230468595,0.769531405,4
4017,16459,20577,1410,703,505,39654,Navajo,Arizona,AZ,0.415065315,0.518913603,0.799873645,1.25019746,0.012735159,0.444405443,0.555594557,4
4019,224661,167428,15620,6200,2509,416418,Pima,Arizona,AZ,0.539508379,0.402067154,1.341836491,0.745247284,0.006025196,0.572984705,0.427015295,4
4021,47892,72819,5010,1476,1057,128254,Pinal,Arizona,AZ,0.373415254,0.567771765,0.657685494,1.520483588,0.008241458,0.396749261,0.603250739,4
4023,11690,3897,432,221,47,16287,Santa Cruz,Arizona,AZ,0.717750353,0.239270584,2.999743392,0.333361848,0.002885737,0.749983961,0.250016039,4
4025,35590,71330,3996,1588,652,113156,Yavapai,Arizona,AZ,0.314521545,0.630368695,0.498948549,2.004214667,0.005761957,0.332865694,0.667134306,4
4027,24605,25165,1873,649,124,52416,Yuma,Arizona,AZ,0.469417735,0.480101496,0.977746871,1.022759602,0.00236569,0.494374121,0.505625879,4
5001,1939,3826,126,64,257,6212,Arkansas,Arkansas,AR,0.312137798,0.615904701,0.506795609,1.973182053,0.041371539,0.336339983,0.663660017,5
5003,2408,5338,156,34,147,8083,Ashley,Arkansas,AR,0.297909192,0.660398367,0.451105283,2.216777409,0.018186317,0.310870127,0.689129873,5
5005,4169,14682,452,140,323,19766,Baxter,Arkansas,AR,0.210917738,0.742790651,0.28395314,3.521707844,0.016341192,0.221155376,0.778844624,5
5007,28005,60871,3871,949,3128,96824,Benton,Arkansas,AR,0.28923614,0.628676774,0.460071298,2.173576147,0.03230604,0.31510194,0.68489806,5
5009,2926,12235,379,134,437,16111,Boone,Arkansas,AR,0.181615046,0.75941903,0.23914998,4.181476418,0.027124325,0.192995185,0.807004815,5
5011,1317,2164,73,16,83,3653,Bradley,Arkansas,AR,0.360525595,0.592389817,0.608595194,1.643128322,0.022721051,0.378339558,0.621660442,5
5013,639,1556,44,3,27,2269,Calhoun,Arkansas,AR,0.28162186,0.685764654,0.41066838,2.435054773,0.011899515,0.291116173,0.708883827,5
5015,3342,6786,238,210,182,10758,Carroll,Arkansas,AR,0.310652538,0.630786392,0.492484527,2.030520646,0.016917643,0.329976303,0.670023697,5
5017,2350,1716,35,15,60,4176,Chicot,Arkansas,AR,0.562739464,0.41091954,1.369463869,0.730212766,0.014367816,0.577963601,0.422036399,5
5019,3620,4404,196,68,238,8526,Clark,Arkansas,AR,0.424583627,0.51653765,0.821980018,1.216574586,0.027914614,0.45114656,0.54885344,5
5021,1199,3781,100,35,85,5200,Clay,Arkansas,AR,0.230576923,0.727115385,0.317111875,3.153461218,0.016346154,0.240763052,0.759236948,5
5023,2101,9458,229,63,234,12085,Cleburne,Arkansas,AR,0.173851882,0.782623086,0.222139987,4.501665873,0.019362847,0.181763128,0.818236872,5
5025,723,2462,59,8,102,3354,Cleveland,Arkansas,AR,0.215563506,0.734048897,0.293663688,3.405255878,0.030411449,0.22700157,0.77299843,5
5027,3140,5456,117,40,134,8887,Columbia,Arkansas,AR,0.353325082,0.61393046,0.575513196,1.737579618,0.015078204,0.36528618,0.63471382,5
5029,2656,4849,171,43,208,7927,Conway,Arkansas,AR,0.335057399,0.611706825,0.547741802,1.825677711,0.026239435,0.353897402,0.646102598,5
5031,10538,22892,1031,304,808,35573,Craighead,Arkansas,AR,0.296235909,0.643521772,0.460335488,2.172328715,0.022713856,0.315225845,0.684774155,5
5033,4488,16686,581,173,522,22450,Crawford,Arkansas,AR,0.199910913,0.74325167,0.268967997,3.717914439,0.02325167,0.211958062,0.788041938,5
5035,8410,6964,242,96,240,15952,Crittenden,Arkansas,AR,0.52720662,0.436559679,1.207639288,0.828061831,0.015045135,0.547027449,0.452972551,5
5037,1999,4584,105,24,162,6874,Cross,Arkansas,AR,0.290805935,0.666860634,0.436082024,2.293146573,0.023567064,0.303660945,0.696339055,5
5039,1165,1509,26,12,59,2771,Dallas,Arkansas,AR,0.420425839,0.544568748,0.77203446,1.29527897,0.021291952,0.435676889,0.564323111,5
5041,2228,1919,44,4,62,4257,Desha,Arkansas,AR,0.523373268,0.450786939,1.161021365,0.861310592,0.014564247,0.537255848,0.462744152,5
5043,2365,3968,111,43,108,6595,Drew,Arkansas,AR,0.358605004,0.60166793,0.596018145,1.677801268,0.016376042,0.373440707,0.626559293,5
5045,14629,29346,1675,511,1366,47527,Faulkner,Arkansas,AR,0.307803985,0.617459549,0.498500647,2.006015449,0.028741557,0.332666288,0.667333712,5
5047,1376,5039,177,34,144,6770,Franklin,Arkansas,AR,0.203249631,0.744313146,0.273070054,3.662063953,0.02127031,0.214497272,0.785502728,5
5049,1067,3471,107,41,86,4772,Fulton,Arkansas,AR,0.223595977,0.72736798,0.307404206,3.253045923,0.018021794,0.235125606,0.764874394,5
5051,12311,26087,989,387,1031,40805,Garland,Arkansas,AR,0.301703223,0.639308908,0.47192088,2.118999269,0.025266511,0.320615657,0.679384343,5
5053,1373,5725,177,30,140,7445,Grant,Arkansas,AR,0.184419073,0.768972465,0.239825328,4.169701384,0.018804567,0.19343477,0.80656523,5
5055,3071,10720,404,97,308,14600,Greene,Arkansas,AR,0.210342466,0.734246575,0.286473881,3.490719635,0.02109589,0.222681459,0.777318541,5
5057,2377,4401,106,22,143,7049,Hempstead,Arkansas,AR,0.337210952,0.624343879,0.540104522,1.851493479,0.020286565,0.35069342,0.64930658,5
5059,3149,8172,239,112,272,11944,Hot Spring,Arkansas,AR,0.263647019,0.6841929,0.385340186,2.595109559,0.02277294,0.27815564,0.72184436,5
5061,1351,3157,60,22,84,4674,Howard,Arkansas,AR,0.289045785,0.675438596,0.427937916,2.336787565,0.017971759,0.299689441,0.700310559,5
5063,2881,9936,352,85,360,13614,Independence,Arkansas,AR,0.211620391,0.729836933,0.289955717,3.448802499,0.026443367,0.22477959,0.77522041,5
5065,1113,4042,125,45,123,5448,Izard,Arkansas,AR,0.204295154,0.741923642,0.275358733,3.631626235,0.022577093,0.215906887,0.784093113,5
5067,1583,3267,111,26,169,5156,Jackson,Arkansas,AR,0.307020946,0.633630721,0.484542394,2.063802906,0.032777347,0.326391753,0.673608247,5
5069,15772,9250,296,157,419,25894,Jefferson,Arkansas,AR,0.609098633,0.357225612,1.705081081,0.586482374,0.016181355,0.630325314,0.369674686,5
5071,2427,6091,294,90,210,9112,Johnson,Arkansas,AR,0.266352063,0.668459175,0.398456739,2.509682736,0.023046532,0.284926039,0.715073961,5
5073,1032,1758,26,5,39,2860,Lafayette,Arkansas,AR,0.360839161,0.614685315,0.587030717,1.703488372,0.013636364,0.369892473,0.630107527,5
5075,1263,4064,165,39,154,5685,Lawrence,Arkansas,AR,0.222163588,0.714863676,0.310777559,3.21773555,0.02708883,0.237094049,0.762905951,5
5077,1735,1229,22,6,34,3026,Lee,Arkansas,AR,0.573364177,0.406146728,1.411716843,0.708357349,0.011235955,0.585357625,0.414642375,5
5079,1252,2455,48,16,55,3826,Lincoln,Arkansas,AR,0.32723471,0.641662311,0.509979633,1.96086262,0.014375327,0.337739412,0.662260588,5
5081,1397,3605,85,14,126,5227,Little River,Arkansas,AR,0.267266118,0.689688158,0.387517337,2.580529707,0.024105606,0.279288285,0.720711715,5
5083,1715,5746,195,54,211,7921,Logan,Arkansas,AR,0.216513067,0.725413458,0.2984685,3.350437318,0.026638051,0.229861949,0.770138051,5
5085,5664,19958,767,172,539,27100,Lonoke,Arkansas,AR,0.20900369,0.736457565,0.283795972,3.523658192,0.019889299,0.221060027,0.778939973,5
5087,1588,4928,144,54,127,6841,Madison,Arkansas,AR,0.232129806,0.72036252,0.32224026,3.103274559,0.018564537,0.243707796,0.756292204,5
5089,1434,5336,157,56,124,7107,Marion,Arkansas,AR,0.2017729,0.750809061,0.26874063,3.721059972,0.017447587,0.211816839,0.788183161,5
5091,4273,11294,237,69,218,16091,Miller,Arkansas,AR,0.265552172,0.70188304,0.378342483,2.643107887,0.013547946,0.27449091,0.72550909,5
5093,5670,7061,181,65,227,13204,Mississippi,Arkansas,AR,0.429415329,0.534762193,0.803002408,1.245326279,0.01719176,0.44536957,0.55463043,5
5095,1312,1489,37,9,37,2884,Monroe,Arkansas,AR,0.454923717,0.51629681,0.881128274,1.134908537,0.012829404,0.468404141,0.531595859,5
5097,748,2643,52,33,83,3559,Montgomery,Arkansas,AR,0.210171396,0.742624333,0.283011729,3.53342246,0.023321158,0.220583899,0.779416101,5
5099,1157,2000,35,6,48,3246,Nevada,Arkansas,AR,0.356438694,0.616142945,0.5785,1.72860847,0.014787431,0.366487171,0.633512829,5
5101,699,2875,49,69,61,3753,Newton,Arkansas,AR,0.186250999,0.766053824,0.243130435,4.113018598,0.016253664,0.195579183,0.804420817,5
5103,4321,5351,97,24,142,9935,Ouachita,Arkansas,AR,0.434927026,0.538600906,0.807512614,1.238370748,0.014292904,0.446753515,0.553246485,5
5105,1049,3008,113,38,98,4306,Perry,Arkansas,AR,0.243613562,0.698560149,0.348736702,2.86749285,0.022758941,0.258565442,0.741434558,5
5107,4310,2446,62,20,115,6953,Phillips,Arkansas,AR,0.619876312,0.351790594,1.762060507,0.567517401,0.016539623,0.637951451,0.362048549,5
5109,685,3150,73,8,65,3981,Pike,Arkansas,AR,0.17206732,0.791258478,0.217460317,4.598540146,0.016327556,0.178617992,0.821382008,5
5111,1880,5502,154,34,152,7722,Poinsett,Arkansas,AR,0.243460243,0.712509713,0.341693929,2.926595745,0.01968402,0.25467353,0.74532647,5
5113,1212,6618,164,56,181,8231,Polk,Arkansas,AR,0.147248208,0.804033532,0.183136899,5.46039604,0.021990038,0.154789272,0.845210728,5
5115,5000,16256,618,225,470,22569,Pope,Arkansas,AR,0.221542824,0.72028003,0.30757874,3.2512,0.020825025,0.2352277,0.7647723,5
5117,814,2505,56,10,59,3444,Prairie,Arkansas,AR,0.236353078,0.727351916,0.3249501,3.077395577,0.017131243,0.245254595,0.754745405,5
5119,89574,61257,4328,1553,3064,159776,Pulaski,Arkansas,AR,0.560622371,0.383393,1.462265537,0.68387032,0.019176848,0.59386996,0.40613004,5
5121,1425,4509,203,53,189,6379,Randolph,Arkansas,AR,0.223389246,0.706850604,0.316034597,3.164210526,0.029628468,0.240141557,0.759858443,5
5123,4031,3195,64,18,122,7430,St. Francis,Arkansas,AR,0.542530283,0.430013459,1.261658842,0.792607293,0.016419919,0.557846665,0.442153335,5
5125,13256,35863,1466,326,1189,52100,Saline,Arkansas,AR,0.254433781,0.688349328,0.369628865,2.705416415,0.022821497,0.269875201,0.730124799,5
5127,602,2731,83,25,69,3510,Scott,Arkansas,AR,0.171509972,0.778062678,0.220432076,4.53654485,0.01965812,0.180618062,0.819381938,5
5129,601,2955,68,18,86,3728,Searcy,Arkansas,AR,0.161212446,0.792650215,0.203384095,4.916805324,0.02306867,0.169010124,0.830989876,5
5131,12300,29127,1630,481,1099,44637,Sebastian,Arkansas,AR,0.275556153,0.652530412,0.422288598,2.36804878,0.02462083,0.296907814,0.703092186,5
5133,1075,3282,83,20,102,4562,Sevier,Arkansas,AR,0.235642262,0.719421306,0.32754418,3.053023256,0.022358615,0.246729401,0.753270599,5
5135,1472,5407,155,49,166,7249,Sharp,Arkansas,AR,0.203062491,0.745895986,0.272239689,3.673233696,0.02289971,0.213984591,0.786015409,5
5137,1203,4113,0,62,199,5577,Stone,Arkansas,AR,0.21570737,0.737493276,0.292487236,3.418952618,0.035682266,0.226297968,0.773702032,5
5139,5855,10456,275,70,238,16894,Union,Arkansas,AR,0.346572748,0.618917959,0.55996557,1.785824082,0.014087842,0.358960211,0.641039789,5
5141,1549,5382,182,53,173,7339,Van Buren,Arkansas,AR,0.211064178,0.733342417,0.287811223,3.474499677,0.023572694,0.223488674,0.776511326,5
